id,name,street_address,town,postcode,join_date,status,acquisition_source,churn_date
65,Elizabeth Wilson,115 High St,Sandown,PO36 6FH,2024-02-29,Active,Organic,
66,Jennifer Wright,140 Station Rd,Ryde,PO33 9RA,2025-03-17,Active,Radio Ad,
67,Patricia Brown,71 York St,East Cowes,PO32 5GH,2023-07-01,Active,Google Search,
68,Patricia Davies,52 Park Rd,Shanklin,PO37 7JR,2025-09-06,Active,Organic,
69,Robert Wright,57 High St,Shanklin,PO37 3CG,2025-10-01,Churned,Google Search,2026-01-18
70,Linda Johnson,26 Station Rd,Newport,PO30 1HE,2025-12-04,Active,Google Search,
71,Robert Brown,95 Tithe Barn,Newport,PO30 6CT,2023-12-16,Active,Organic,
72,Elizabeth Wilson,56 Arctic Rd,Yarmouth,PO41 8YE,2025-03-08,Active,Instagram Influencer,
73,Jennifer Johnson,83 London Rd,Shanklin,PO37 5RC,2026-02-23,Active,Organic,
74,William Wilson,108 Church Rd,Bembridge,PO35 1KO,2026-03-28,Active,Instagram Influencer,
75,Mary Johnson,113 Tithe Barn,Cowes,PO31 2RB,2026-04-03,Active,Google Search,
76,Patricia Smith,67 Queens Rd,Cowes,PO31 7VP,2024-07-20,Active,Organic,
77,Mary Wilson,11 Church Rd,Newport,PO30 9DF,2025-02-17,Active,Organic,
78,James Jones,138 Park Rd,Shanklin,PO37 1HW,2024-01-23,Active,Organic,
79,Mary Johnson,83 Queens Rd,Shanklin,PO37 7OJ,2026-04-13,Active,Organic,
80,William Brown,18 Main Rd,Newport,PO30 9VW,2025-10-26,Active,Organic,
81,Michael Williams,17 Main Rd,Cowes,PO31 1YC,2024-02-12,Churned,Organic,2025-03-05
82,Patricia Williams,49 Mill Hill Rd,Ryde,PO33 4EP,2024-07-23,Active,Organic,
83,Linda Jones,42 Station Rd,Newport,PO30 2EI,2023-03-15,Active,Organic,
84,Linda Wright,32 Victoria Ave,Ventnor,PO38 3PC,2023-05-19,Active,Organic,
85,Patricia Taylor,74 Main Rd,Newport,PO30 2MS,2024-04-12,Active,Organic,
86,Michael Robinson,141 Church Rd,Newport,PO30 6CT,2024-11-28,Churned,Organic,2025-12-27
87,Robert Jones,20 High St,East Cowes,PO32 1FV,2023-05-18,Active,Organic,
88,Patricia Johnson,93 Queens Rd,East Cowes,PO32 4VH,2025-08-23,Active,Organic,
89,James Brown,79 Broadway,East Cowes,PO32 1TH,2024-11-17,Active,Organic,
90,Michael Taylor,12 Arctic Rd,Sandown,PO36 2VP,2025-02-07,Active,Organic,
91,Mary Smith,12 Tithe Barn,Ryde,PO33 4UQ,2023-05-14,Active,Organic,
92,Patricia Wright,56 Arctic Rd,Newport,PO30 2DO,2023-08-19,Active,Organic,
93,Robert Brown,107 Park Rd,Newport,PO30 5UW,2024-11-30,Active,Organic,
94,Michael Williams,84 York St,Ryde,PO33 2VV,2025-07-24,Active,Instagram Influencer,
95,Elizabeth Davies,95 Park Rd,Newport,PO30 7JD,2025-12-18,Active,Organic,
96,Jennifer Jones,42 Queens Rd,Ryde,PO33 2SV,2024-05-04,Active,Organic,
97,James Taylor,86 Broadway,East Cowes,PO32 6DO,2023-01-14,Active,Organic,
98,Patricia Smith,11 High St,Newport,PO30 2GQ,2024-03-29,Active,Organic,
99,John Robinson,95 Tithe Barn,Newport,PO30 2EF,2024-07-22,Active,Organic,
100,Linda Davies,99 Broadway,Newport,PO30 7DU,2025-06-11,Active,Organic,
101,Patricia Johnson,48 Park Rd,East Cowes,PO32 1LL,2025-02-28,Active,Billboards,
102,John Davies,124 Queens Rd,Newport,PO30 4BU,2024-09-08,Active,Local Fair,
103,Linda Johnson,106 Church Rd,Ryde,PO33 5LI,2024-05-02,Churned,Facebook Ads,2025-12-02
104,Elizabeth Wilson,12 York St,Newport,PO30 7GL,2024-12-30,Active,Organic,
105,John Taylor,53 Broadway,Ventnor,PO38 3MP,2024-06-05,Active,Local Fair,
106,William Smith,47 Main Rd,East Cowes,PO32 4PL,2023-09-12,Active,Organic,
107,John Davies,91 London Rd,Newport,PO30 5HX,2023-05-08,Active,Organic,
108,James Robinson,149 Tithe Barn,Bembridge,PO35 9BQ,2024-05-13,Active,Organic,
109,Robert Wright,143 Mill Hill Rd,East Cowes,PO32 3KR,2023-01-04,Active,Organic,
110,James Robinson,38 Park Rd,Cowes,PO31 1JQ,2024-09-24,Active,Organic,
111,James Wright,113 Station Rd,Newport,PO30 9NV,2025-03-29,Active,Organic,
112,Michael Smith,40 Main Rd,Ryde,PO33 7NW,2025-10-15,Active,Google Search,
113,John Williams,64 Queens Rd,Newport,PO30 9IM,2023-05-28,Active,Organic,
114,James Wilson,80 High St,Ventnor,PO38 1WG,2024-05-19,Churned,Organic,2025-05-17
115,James Davies,28 Queens Rd,Ventnor,PO38 4ZA,2025-10-31,Active,Google Search,
116,James Wilson,77 Station Rd,Newport,PO30 7FV,2024-09-25,Active,Organic,
117,Robert Wilson,42 Queens Rd,Newport,PO30 2AX,2026-01-26,Active,Organic,
118,Linda Brown,121 Broadway,Seaview,PO34 6AA,2025-03-23,Churned,Facebook Ads,2025-07-03
119,James Johnson,101 Tithe Barn,East Cowes,PO32 6PA,2025-08-03,Active,Radio Ad,
120,Jennifer Robinson,64 Church Rd,Sandown,PO36 4LM,2024-02-06,Active,Organic,
121,John Davies,68 Broadway,Ryde,PO33 9DX,2025-02-10,Active,Organic,
122,Patricia Jones,24 Mill Hill Rd,Shanklin,PO37 8FQ,2024-12-20,Active,Local Fair,
123,Michael Robinson,65 London Rd,Newport,PO30 6MZ,2024-07-10,Active,Door-to-Door,
124,Jennifer Wilson,11 Mill Hill Rd,Newport,PO30 4YN,2023-06-06,Active,Organic,
125,Robert Smith,7 Queens Rd,Ryde,PO33 6FS,2024-08-26,Churned,Organic,2025-01-21
126,Jennifer Davies,25 Victoria Ave,Totland Bay,PO39 6CS,2025-12-19,Active,Organic,
127,Mary Williams,24 Broadway,Sandown,PO36 4FF,2025-07-13,Active,Organic,
128,Elizabeth Johnson,144 Park Rd,Sandown,PO36 7DT,2023-12-29,Churned,Organic,2025-01-13
129,Michael Wilson,113 Victoria Ave,Newport,PO30 5GV,2025-12-24,Active,Door-to-Door,
130,John Davies,119 Tithe Barn,Cowes,PO31 5YO,2023-04-10,Active,Instagram Influencer,
131,Robert Brown,143 Tithe Barn,Newport,PO30 6KY,2026-01-30,Active,Organic,
132,John Johnson,142 Broadway,Seaview,PO34 3IK,2025-06-04,Active,Organic,
133,Elizabeth Wright,28 Queens Rd,Newport,PO30 4TC,2024-05-19,Active,Organic,
134,Robert Robinson,118 Station Rd,Ryde,PO33 9NM,2025-09-28,Active,Google Search,
135,Linda Smith,82 Station Rd,Sandown,PO36 7DT,2025-06-17,Active,Door-to-Door,
136,Jennifer Wilson,132 Queens Rd,Cowes,PO31 3TH,2025-10-25,Active,Leaflets,
137,William Taylor,14 Station Rd,Ryde,PO33 3AI,2025-08-11,Active,Organic,
138,James Johnson,97 Arctic Rd,Ryde,PO33 5ZK,2023-10-22,Active,Organic,
139,Robert Jones,56 London Rd,Cowes,PO31 5ZT,2023-07-07,Active,Organic,
140,Elizabeth Wright,149 York St,Newport,PO30 9MB,2024-08-20,Active,Organic,
141,Linda Jones,117 London Rd,Bembridge,PO35 2RD,2025-08-26,Active,Billboards,
142,Linda Robinson,98 Church Rd,Newport,PO30 3DR,2024-12-11,Active,Local Fair,
143,Linda Williams,138 Station Rd,Ryde,PO33 7FJ,2025-02-19,Churned,Leaflets,2025-09-18
144,Mary Jones,82 Tithe Barn,Newport,PO30 2AK,2024-06-12,Churned,Organic,2025-07-24
145,Jennifer Taylor,67 High St,Newport,PO30 3NN,2023-05-02,Active,Organic,
146,John Davies,6 Main Rd,Ryde,PO33 9KG,2024-04-03,Active,Organic,
147,Patricia Johnson,127 Queens Rd,Newport,PO30 5GV,2023-03-07,Active,Organic,
148,Michael Smith,86 Church Rd,East Cowes,PO32 6YT,2023-04-22,Active,Instagram Influencer,
149,John Jones,103 Mill Hill Rd,Seaview,PO34 1VH,2023-07-11,Active,Organic,
150,Patricia Johnson,43 Church Rd,Newport,PO30 7TV,2023-09-15,Churned,Google Search,2024-09-01
151,William Johnson,146 High St,Shanklin,PO37 1UC,2024-08-11,Active,Organic,
152,Michael Brown,32 Broadway,Newport,PO30 9BZ,2024-10-26,Active,Organic,
153,Patricia Smith,24 Main Rd,Freshwater,PO40 3DY,2023-01-22,Active,Instagram Influencer,
154,James Brown,71 High St,Newport,PO30 2GQ,2025-09-27,Churned,Google Search,2026-01-05
155,Elizabeth Smith,3 Park Rd,Ryde,PO33 2AM,2025-08-23,Active,Organic,
156,John Brown,75 Arctic Rd,Newport,PO30 8CI,2024-09-23,Active,Organic,
157,Elizabeth Smith,13 Main Rd,Newport,PO30 2YG,2023-02-06,Active,Door-to-Door,
158,John Wilson,120 Broadway,Ryde,PO33 3IK,2024-04-15,Active,Organic,
159,Michael Davies,81 Broadway,Ryde,PO33 5NV,2024-04-14,Active,Billboards,
160,Linda Smith,2 Main Rd,Seaview,PO34 6AA,2025-03-10,Active,Organic,
161,John Brown,147 Park Rd,Newport,PO30 7ZN,2023-02-05,Active,Door-to-Door,
162,Michael Brown,133 Victoria Ave,Newport,PO30 7OB,2025-10-03,Active,Instagram Influencer,
163,John Robinson,135 Broadway,Sandown,PO36 1PQ,2024-08-09,Active,Organic,
164,James Taylor,5 Church Rd,Ventnor,PO38 5IX,2024-03-26,Active,Organic,
165,Michael Williams,92 Park Rd,Ventnor,PO38 2IF,2023-10-18,Churned,Organic,2024-03-25
166,Michael Robinson,101 High St,Newport,PO30 2MS,2023-07-09,Active,Organic,
167,James Smith,85 Mill Hill Rd,Newport,PO30 3NB,2023-08-15,Churned,Door-to-Door,2024-11-06
168,Jennifer Jones,5 Broadway,Ryde,PO33 8PL,2025-10-06,Active,Organic,
169,Linda Wilson,31 Broadway,Newport,PO30 2AK,2024-09-10,Active,Local Fair,
170,James Johnson,84 Main Rd,Ryde,PO33 2CF,2024-07-12,Active,Organic,
171,William Taylor,31 Queens Rd,Newport,PO30 3FY,2025-01-11,Churned,Organic,2025-05-02
172,William Taylor,57 Station Rd,Ryde,PO33 1NE,2025-01-29,Active,Leaflets,
173,Linda Johnson,136 Tithe Barn,Sandown,PO36 9MJ,2025-03-07,Active,Billboards,
174,Patricia Smith,17 High St,Newport,PO30 3FY,2025-06-11,Active,Organic,
175,William Wright,64 Tithe Barn,Cowes,PO31 2QZ,2025-01-07,Active,Door-to-Door,
176,Robert Brown,57 Park Rd,Newport,PO30 5VL,2023-03-22,Active,Organic,
177,Robert Robinson,64 Victoria Ave,Freshwater,PO40 9MM,2026-01-29,Active,Organic,
178,Linda Davies,126 Church Rd,Shanklin,PO37 9DT,2023-11-19,Churned,Google Search,2025-06-25
179,Patricia Williams,98 Station Rd,Ryde,PO33 6LT,2023-09-29,Active,Instagram Influencer,
180,Robert Smith,77 Broadway,Totland Bay,PO39 5YJ,2024-05-13,Active,Organic,
181,Linda Robinson,145 Victoria Ave,Totland Bay,PO39 9JS,2024-02-01,Churned,Instagram Influencer,2024-07-11
182,Mary Wright,66 Main Rd,East Cowes,PO32 5IA,2024-05-09,Active,Organic,
183,William Robinson,144 Arctic Rd,Ryde,PO33 9RG,2025-12-31,Active,Door-to-Door,
184,William Brown,9 Station Rd,East Cowes,PO32 6TG,2024-07-30,Active,Sponsorship,
185,Jennifer Jones,16 High St,Newport,PO30 8NW,2025-03-27,Active,Facebook Ads,
186,Jennifer Wright,96 Tithe Barn,Newport,PO30 7OB,2026-02-04,Active,Organic,
187,Linda Taylor,114 Arctic Rd,Ryde,PO33 5XP,2024-05-10,Active,Organic,
188,James Johnson,45 York St,Cowes,PO31 9HN,2024-07-10,Active,Door-to-Door,
189,Elizabeth Davies,88 London Rd,East Cowes,PO32 6MH,2025-08-19,Active,Organic,
190,Mary Smith,61 Tithe Barn,Shanklin,PO37 1IH,2025-02-09,Active,Organic,
191,William Davies,108 Broadway,Newport,PO30 3JR,2023-02-09,Active,Organic,
192,Mary Wright,49 Victoria Ave,Shanklin,PO37 8ZG,2023-12-21,Churned,Organic,2024-10-14
193,Elizabeth Wilson,112 Main Rd,Cowes,PO31 9HD,2023-02-16,Churned,Organic,2024-06-04
194,William Wilson,75 London Rd,Seaview,PO34 5CC,2023-09-07,Churned,Organic,2024-03-12
195,Michael Wright,3 Station Rd,Ryde,PO33 5HP,2025-02-14,Active,Leaflets,
196,Elizabeth Jones,125 London Rd,Shanklin,PO37 7BJ,2025-04-25,Active,Radio Ad,
197,John Davies,135 Park Rd,Ryde,PO33 9DU,2025-10-28,Active,Organic,
198,James Johnson,121 London Rd,Newport,PO30 2EF,2026-02-08,Active,Organic,
199,Robert Robinson,118 London Rd,Ryde,PO33 6TE,2026-03-30,Active,Organic,
200,Mary Wilson,19 Arctic Rd,Newport,PO30 2DO,2025-06-16,Active,Door-to-Door,
201,James Taylor,91 Park Rd,Ryde,PO33 1VY,2024-05-18,Active,Organic,
202,Linda Johnson,60 Mill Hill Rd,Ryde,PO33 2AM,2023-02-25,Active,Organic,
203,Robert Jones,47 Broadway,East Cowes,PO32 8GO,2025-06-19,Active,Organic,
204,Elizabeth Robinson,36 Broadway,Shanklin,PO37 8AN,2026-03-22,Active,Local Fair,
205,Mary Davies,123 York St,Ventnor,PO38 1RW,2024-03-09,Active,Local Fair,
206,William Brown,7 High St,Ryde,PO33 8OJ,2023-03-08,Active,Organic,
207,Patricia Smith,142 York St,Sandown,PO36 3AY,2023-08-03,Active,Door-to-Door,
208,Jennifer Williams,18 Broadway,Newport,PO30 5WL,2024-03-24,Active,Organic,
209,James Wright,148 Victoria Ave,Newport,PO30 8OU,2023-01-15,Active,Sponsorship,
210,Elizabeth Smith,19 Park Rd,Ryde,PO33 3QX,2026-01-15,Active,Organic,
211,Patricia Johnson,54 Mill Hill Rd,Cowes,PO31 1FN,2026-03-03,Active,Organic,
212,Elizabeth Jones,59 London Rd,Cowes,PO31 1JQ,2023-10-18,Active,Facebook Ads,
213,Mary Wilson,143 Tithe Barn,Ryde,PO33 9PR,2023-05-26,Active,Facebook Ads,
214,Mary Davies,2 Queens Rd,Shanklin,PO37 7EH,2023-07-19,Active,Organic,
215,Patricia Taylor,49 Victoria Ave,Newport,PO30 8DS,2025-06-14,Active,Organic,
216,John Robinson,53 Tithe Barn,East Cowes,PO32 6TG,2025-06-18,Active,Organic,
217,Robert Johnson,126 Main Rd,Ryde,PO33 1RP,2024-09-15,Churned,Local Fair,2026-01-06
218,Linda Davies,98 Broadway,Newport,PO30 9UR,2025-07-19,Active,Instagram Influencer,
219,Mary Johnson,93 Station Rd,East Cowes,PO32 3YV,2025-05-13,Active,Sponsorship,
220,William Smith,46 Church Rd,Cowes,PO31 3KY,2023-07-11,Active,Local Fair,
221,Jennifer Wright,43 London Rd,Cowes,PO31 5XJ,2025-05-26,Active,Sponsorship,
222,William Smith,129 Tithe Barn,Ryde,PO33 2RB,2025-03-15,Churned,Organic,2025-06-29
223,Linda Williams,102 York St,Ryde,PO33 8KY,2024-01-13,Active,Organic,
224,Robert Brown,66 Park Rd,Ryde,PO33 2ZF,2025-01-09,Active,Organic,
225,Linda Jones,5 Broadway,Cowes,PO31 3NF,2024-01-26,Active,Instagram Influencer,
226,Linda Davies,12 Park Rd,Sandown,PO36 9GR,2023-05-22,Active,Radio Ad,
227,Jennifer Brown,8 York St,Newport,PO30 8LK,2026-03-15,Active,Organic,
228,Mary Brown,133 Main Rd,Shanklin,PO37 3EC,2024-03-04,Active,Local Fair,
229,Elizabeth Brown,28 London Rd,Newport,PO30 2QA,2024-07-19,Active,Organic,
230,John Williams,145 High St,Bembridge,PO35 5MZ,2023-02-03,Churned,Door-to-Door,2023-12-20
231,William Jones,146 Victoria Ave,Freshwater,PO40 4JI,2024-03-13,Active,Local Fair,
232,Patricia Jones,65 Main Rd,Ryde,PO33 6LT,2024-03-07,Active,Organic,
233,William Smith,36 Queens Rd,Shanklin,PO37 3ZM,2025-03-18,Active,Organic,
234,Linda Taylor,23 York St,Ryde,PO33 9RS,2025-04-30,Active,Organic,
235,Michael Davies,72 Broadway,Cowes,PO31 8OR,2026-01-14,Active,Organic,
236,Elizabeth Robinson,14 Station Rd,Newport,PO30 5RR,2024-02-09,Active,Sponsorship,
237,James Johnson,75 Church Rd,Sandown,PO36 2GS,2023-03-11,Active,Door-to-Door,
238,James Taylor,96 Church Rd,Newport,PO30 7WC,2026-03-30,Active,Instagram Influencer,
239,Elizabeth Taylor,34 Broadway,Cowes,PO31 6QH,2023-05-23,Active,Organic,
240,Michael Brown,143 Mill Hill Rd,Newport,PO30 9UR,2023-02-27,Active,Door-to-Door,
241,Elizabeth Taylor,69 Church Rd,Ryde,PO33 8RO,2026-04-10,Active,Organic,
242,Robert Davies,147 Mill Hill Rd,Sandown,PO36 5YR,2023-06-07,Active,Sponsorship,
243,Patricia Robinson,45 Park Rd,Ventnor,PO38 6MR,2023-11-12,Active,Sponsorship,
244,John Smith,149 Arctic Rd,Cowes,PO31 2QN,2023-10-30,Active,Organic,
245,William Smith,144 York St,Sandown,PO36 4JG,2024-12-28,Active,Organic,
246,John Davies,75 Mill Hill Rd,Ventnor,PO38 2UZ,2026-03-16,Active,Organic,
247,Michael Davies,43 Station Rd,East Cowes,PO32 3IY,2024-03-23,Active,Local Fair,
248,William Wright,150 Victoria Ave,Ventnor,PO38 6JN,2023-03-28,Active,Radio Ad,
249,Patricia Davies,2 Broadway,East Cowes,PO32 6OG,2025-12-15,Active,Organic,
250,John Brown,38 Mill Hill Rd,Ryde,PO33 8MF,2024-12-03,Churned,Organic,2025-05-16
251,Mary Davies,93 Victoria Ave,Shanklin,PO37 5JJ,2023-05-11,Active,Organic,
252,Elizabeth Williams,108 Station Rd,Cowes,PO31 4QK,2025-05-27,Active,Organic,
253,Elizabeth Wilson,15 York St,Sandown,PO36 7DT,2023-09-09,Active,Organic,
254,Robert Wright,88 Victoria Ave,Bembridge,PO35 9HY,2026-02-07,Active,Facebook Ads,
255,Patricia Brown,118 Queens Rd,Cowes,PO31 6KC,2023-06-23,Active,Local Fair,
256,Jennifer Smith,72 Main Rd,Ryde,PO33 2YP,2024-04-05,Active,Organic,
257,William Johnson,49 Church Rd,Ryde,PO33 3EL,2023-01-11,Active,Organic,
258,Michael Brown,64 Main Rd,East Cowes,PO32 5OG,2024-01-17,Churned,Organic,2025-01-31
259,John Jones,4 Mill Hill Rd,Newport,PO30 2EC,2025-05-29,Churned,Sponsorship,2026-04-04
260,James Johnson,43 Tithe Barn,Shanklin,PO37 7BJ,2023-01-13,Active,Organic,
261,Robert Williams,64 Tithe Barn,Newport,PO30 7FZ,2024-03-09,Active,Organic,
262,William Davies,78 Queens Rd,Newport,PO30 2CV,2026-03-26,Active,Google Search,
263,Linda Jones,24 Broadway,Seaview,PO34 3RK,2024-08-04,Active,Sponsorship,
264,James Brown,33 York St,Newport,PO30 1AB,2025-07-01,Active,Door-to-Door,
265,Michael Davies,3 High St,Newport,PO30 7HN,2025-07-02,Active,Door-to-Door,
266,James Taylor,22 Victoria Ave,Ventnor,PO38 8YV,2023-02-27,Churned,Door-to-Door,2024-03-21
267,Elizabeth Jones,71 Station Rd,Cowes,PO31 9DQ,2023-05-13,Churned,Sponsorship,2024-02-02
268,Linda Jones,64 Church Rd,Newport,PO30 9AR,2023-08-28,Active,Organic,
269,William Johnson,97 Victoria Ave,Ryde,PO33 4DY,2024-10-01,Active,Organic,
270,Linda Davies,88 Park Rd,East Cowes,PO32 5UP,2024-07-24,Active,Organic,
271,Linda Brown,3 Church Rd,Newport,PO30 1YK,2024-08-09,Active,Door-to-Door,
272,John Wright,102 Park Rd,Newport,PO30 3XB,2024-07-12,Active,Organic,
273,Michael Jones,86 Queens Rd,East Cowes,PO32 3KR,2025-12-26,Active,Organic,
274,Mary Taylor,46 Arctic Rd,Sandown,PO36 7BE,2023-04-30,Active,Instagram Influencer,
275,Linda Wright,94 Main Rd,Bembridge,PO35 4DE,2025-10-19,Active,Organic,
276,William Jones,71 Broadway,Newport,PO30 7NJ,2023-11-06,Active,Organic,
277,Robert Jones,13 Victoria Ave,Newport,PO30 3RC,2025-08-14,Active,Organic,
278,Mary Wilson,85 Mill Hill Rd,East Cowes,PO32 6OG,2024-04-03,Active,Organic,
279,Mary Jones,34 Park Rd,Ventnor,PO38 1VQ,2024-04-21,Active,Organic,
280,Linda Brown,24 York St,Shanklin,PO37 6ZM,2025-12-28,Active,Organic,
281,Mary Robinson,48 Arctic Rd,Sandown,PO36 9SU,2023-06-20,Active,Billboards,
282,William Smith,52 Church Rd,Freshwater,PO40 8XP,2025-01-01,Active,Door-to-Door,
283,Mary Wilson,4 Tithe Barn,Ryde,PO33 4TF,2025-03-13,Active,Radio Ad,
284,Elizabeth Robinson,67 Victoria Ave,Ryde,PO33 7KT,2025-11-13,Active,Organic,
285,Michael Brown,18 Station Rd,East Cowes,PO32 4GE,2023-11-03,Active,Facebook Ads,
286,Linda Wright,40 Victoria Ave,Shanklin,PO37 9AN,2023-09-01,Active,Door-to-Door,
287,John Williams,36 Church Rd,Sandown,PO36 2EG,2025-02-01,Active,Leaflets,
288,Jennifer Jones,23 Main Rd,Shanklin,PO37 1LR,2025-05-08,Active,Facebook Ads,
289,Elizabeth Smith,81 Main Rd,Newport,PO30 6PI,2024-01-04,Active,Organic,
290,Jennifer Wilson,110 Mill Hill Rd,Newport,PO30 9RC,2025-01-12,Active,Google Search,
291,William Brown,91 Tithe Barn,Ventnor,PO38 7MQ,2023-08-13,Active,Door-to-Door,
292,Jennifer Jones,39 Mill Hill Rd,Sandown,PO36 9RN,2025-08-18,Active,Organic,
